 ID	News	predicted
FAKE_3000	ചന്ദനക്കുറിയണിഞ്ഞ് വിഎസ് അച്യുതാനന്ദൻ.	PARTLY FALSE
FAKE_3001	നെറ്റിയില്‍ ചന്ദനക്കുറിയിട്ട് വിഎസ് അച്യുതാനന്ദന്‍റെ ചിത്രം	PARTLY FALSE
FAKE_3002	മുഖ്യമന്ത്രി പിണറായി വിജയനെതിരെ വിഎസ് അച്യുതാനന്ദൻ തരംതാണ പരാമർശം നടത്തി	MOSTLY FALSE
FAKE_3003	വിശ്വസിച്ച് കൂടെ നിന്ന സഖാവ് അലനേയും സഖാവ് താഹയെയും ആ പാർട്ടി ചതിച്ചു പിന്നെയാണോ ഒരു സമൂഹത്തെ ചതിക്കാൻ പിണറായിക്ക് ബുദ്ധിമുട്ട്… പിണറായിയുടെ ഈ കാപട്യം ജനം തിരിച്ചറിയും – സഖാവ് വിഎസ്	MOSTLY FALSE
FAKE_3004	"പിണറായി വിജയനെപ്പറ്റി വിഎസ് അച്യുതാനന്ദൻ തരംതാണ പരാമർശം നടത്തിയോ…? "	PARTLY FALSE
FAKE_3005	വി എസ് അച്യുതാനന്ദൻ സുരേഷ് ഗോപിക്ക് പിന്തുണ പ്രഖ്യാപിച്ചോ….?	MOSTLY FALSE
FAKE_3006	കീർത്തി സുരേഷ് ഫർഹാൻ എന്ന മുസ്ലിം യുവാവിനെ കല്യാണം കഴിയ്ക്കുന്നു	MOSTLY FALSE
FAKE_3007	യെമനില്‍ പുരുഷന്‍മാര്‍ക്ക് രണ്ട് വിവാഹം നിര്‍ബന്ധമാക്കിക്കൊണ്ടുള്ള ഉത്തരവ് പുറത്തിറക്കി.	MOSTLY FALSE
FAKE_3008	ബിഹാറിൽ എട്ടു വയസുകാരിയുടെ വിവാഹം നടന്നു	MOSTLY FALSE
FAKE_3009	ബഹ്‌റൈനിലെ ഇസ്രയേല്‍ എംബസിക്ക് പലസ്തീന്‍ അനുകൂലികള്‍ തീയിട്ടു.	MOSTLY FALSE
FAKE_3010	സ്നേഹത്തില്‍ പൊതിഞ്ഞ പാവക്കുട്ടികള്‍, ഈ സമ്മാനമെല്ലാം പലസ്‌തീനിലെ കുട്ടികള്‍ക്കോ?	MOSTLY FALSE
FAKE_3011	ഗാസയിലെ കുട്ടികളെ ചേര്‍ത്തുനിര്‍ത്തി ക്രിസ്റ്റ്യാനോ റൊണാള്‍ഡോ, പലസ്‌തീന് പിന്തുണ'; വീഡിയോ സത്യമോ?	MOSTLY FALSE
FAKE_3012	സഹതാപത്തിനായി പലസ്തീനിലെ ജനങ്ങള്‍ മേക്കപ്പിലൂടെ പരിക്കുകള്‍ സൃഷ്ടിക്കുന്നു	MOSTLY FALSE
FAKE_3013	ഫലസ്തീൻ പതാകയണിഞ്ഞ് ക്രിസ്റ്റ്യാനോ റൊണാൾഡോ..	PARTLY FALSE
FAKE_3014	പലസ്തീൻ പതാകയണിഞ്ഞ് ക്രിസ്റ്റ്യാനോ റൊണാൾഡോ.	PARTLY FALSE
